                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.62955,                0.35387,                0.95344,                0.99199,                0.98183,                0.99462,                0.81515,                0.76522,                0.30883,                0.99991,              0.0006536,              0.0006536,              0.0006536
                     37,                0.62093,                0.34851,                0.94901,                0.98004,                0.98679,                0.99437,                0.81532,                0.77113,                 0.3058,                0.99766,               0.000614,               0.000614,               0.000614
                     38,                0.63139,                0.35024,                0.95661,                0.98458,                0.97754,                0.99442,                0.81184,                 0.7667,                0.30577,                0.99599,              0.0005744,              0.0005744,              0.0005744
                     39,                0.61625,                0.34086,                0.94101,                0.99103,                0.97622,                0.99442,                0.82009,                0.75978,                0.29909,                0.99152,              0.0005348,              0.0005348,              0.0005348
                     40,                0.60618,                0.33811,                 0.9399,                0.99066,                0.98028,                0.99449,                0.81449,                0.77707,                0.29926,                0.99212,              0.0004952,              0.0004952,              0.0004952
                     41,                0.56585,                0.29256,                0.91786,                0.98279,                0.98547,                0.99444,                0.81317,                0.76988,                0.30594,                0.99324,              0.0004556,              0.0004556,              0.0004556
                     42,                0.55861,                0.28662,                0.91404,                 0.9809,                0.98547,                0.99441,                0.81631,                0.76924,                0.30211,                0.99557,               0.000416,               0.000416,               0.000416
                     43,                0.55116,                0.28089,                0.90689,                0.98718,                0.98283,                0.99453,                0.81601,                0.77163,                0.30623,                 0.9989,              0.0003764,              0.0003764,              0.0003764
                     44,                0.54134,                0.27292,                 0.9016,                0.98538,                0.97927,                0.99432,                0.82305,                0.75674,                0.29722,                0.99047,              0.0003368,              0.0003368,              0.0003368
                     45,                0.54358,                0.27421,                0.90587,                0.98031,                0.98675,                0.99438,                0.82046,                0.75911,                0.29906,                0.98878,              0.0002972,              0.0002972,              0.0002972
                     46,                0.53629,                0.26783,                0.90295,                0.98158,                0.98575,                0.99437,                0.82242,                0.75774,                0.29372,                0.98885,              0.0002576,              0.0002576,              0.0002576
                     47,                0.52705,                0.26308,                 0.8993,                0.98538,                0.97907,                0.99436,                0.82091,                0.76271,                0.29374,                0.98848,               0.000218,               0.000218,               0.000218
                     48,                 0.5224,                0.26053,                0.89682,                0.98674,                0.98018,                0.99436,                0.82111,                0.75927,                0.28813,                0.99292,              0.0001784,              0.0001784,              0.0001784
                     49,                0.51672,                0.25876,                0.89899,                0.98802,                 0.9803,                0.99444,                0.82393,                 0.7574,                0.28719,                0.99048,              0.0001388,              0.0001388,              0.0001388
                     50,                0.51397,                0.25176,                0.89547,                0.98545,                0.98434,                0.99443,                0.82141,                0.75389,                0.28486,                0.99058,               9.92e-05,               9.92e-05,               9.92e-05
