                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.39205,                0.36343,                0.89045,                0.99705,                      1,                  0.995,                0.95497,                0.39913,                0.28501,                 0.8317,               0.000614,               0.000614,               0.000614
                     38,                0.37781,                0.35922,                0.87501,                0.99718,                      1,                  0.995,                0.94136,                0.39438,                0.29735,                0.82824,              0.0005744,              0.0005744,              0.0005744
                     39,                0.38819,                0.37251,                0.88917,                  0.997,                      1,                  0.995,                0.96751,                0.36991,                 0.2845,                0.82407,              0.0005348,              0.0005348,              0.0005348
                     40,                0.37954,                0.34108,                0.85275,                0.99721,                      1,                  0.995,                0.95476,                0.38209,                0.29272,                0.83342,              0.0004952,              0.0004952,              0.0004952
                     41,                0.32886,                0.31646,                0.81743,                0.99731,                      1,                  0.995,                0.95937,                0.37068,                0.28061,                0.83079,              0.0004556,              0.0004556,              0.0004556
                     42,                0.31358,                0.30773,                0.81097,                0.99737,                      1,                  0.995,                0.95557,                0.36866,                0.26655,                0.83209,               0.000416,               0.000416,               0.000416
                     43,                0.31715,                0.30536,                0.80831,                0.99743,                      1,                  0.995,                0.93361,                0.39741,                0.28614,                0.83383,              0.0003764,              0.0003764,              0.0003764
                     44,                0.31803,                 0.3079,                0.81447,                0.99749,                      1,                  0.995,                0.93084,                0.39763,                0.26887,                0.83215,              0.0003368,              0.0003368,              0.0003368
                     45,                0.29949,                0.28584,                0.80634,                0.99745,                      1,                  0.995,                  0.948,                0.39121,                0.26669,                0.83344,              0.0002972,              0.0002972,              0.0002972
                     46,                0.29442,                0.28195,                0.80113,                0.99739,                      1,                  0.995,                0.95428,                0.38305,                0.26841,                0.83175,              0.0002576,              0.0002576,              0.0002576
                     47,                0.28623,                0.28709,                 0.7814,                0.99738,                      1,                  0.995,                0.94884,                0.37776,                 0.2628,                0.82915,               0.000218,               0.000218,               0.000218
                     48,                0.29015,                0.27298,                0.79003,                0.99742,                      1,                  0.995,                0.94812,                 0.3661,                0.25295,                0.82858,              0.0001784,              0.0001784,              0.0001784
                     49,                0.28543,                0.27594,                0.80199,                0.99744,                      1,                  0.995,                0.95445,                0.37315,                0.26097,                0.83175,              0.0001388,              0.0001388,              0.0001388
                     50,                0.27388,                0.26621,                0.79475,                0.99745,                      1,                  0.995,                0.95443,                0.36743,                0.25422,                 0.8306,               9.92e-05,               9.92e-05,               9.92e-05
