674791000000,cam,-0.089,0.08,0.767
674801000000,icub,0.16,0.05,0.72
674841000000,cam,-0.089,0.101,0.765
674851000000,icub,0.16,0.06,0.72
674891000000,cam,-0.086,0.137,0.737
674901000000,icub,0.16,0.08,0.72
674945000000,cam,-0.085,0.155,0.731
674951000000,icub,0.15,0.09,0.72
674995000000,cam,-0.082,0.189,0.722
675001000000,icub,0.15,0.1,0.72
675045000000,cam,-0.081,0.204,0.72
675051000000,icub,0.15,0.11,0.71
675095000000,cam,-0.079,0.22,0.725
675101000000,icub,0.15,0.12,0.71
675145000000,cam,-0.075,0.246,0.73
675151000000,icub,0.13,0.13,0.71
675195000000,cam,-0.071,0.249,0.709
675201000000,icub,0.15,0.14,0.71
675245000000,cam,-0.069,0.261,0.722
675251000000,icub,0.13,0.15,0.71
675295000000,cam,-0.061,0.274,0.716
675301000000,icub,0.13,0.15,0.71
675345000000,cam,-0.055,0.278,0.715
675351000000,icub,0.13,0.16,0.71
675395000000,cam,-0.044,0.285,0.707
675401000000,icub,0.12,0.22,0.71
675445000000,cam,-0.04,0.292,0.714
675451000000,icub,0.12,0.22,0.71
675495000000,cam,-0.027,0.303,0.732
675501000000,icub,0.11,0.22,0.71
675545000000,cam,-0.021,0.307,0.737
675553000000,icub,0.11,0.22,0.71
675595000000,cam,-0.014,0.314,0.751
675605000000,icub,0.11,0.23,0.72
675647000000,cam,-0.0,0.311,0.747
675655000000,icub,0.11,0.23,0.72
675697000000,cam,0.014,0.31,0.749
675705000000,icub,0.1,0.23,0.72
675747000000,cam,0.021,0.31,0.755
675755000000,icub,0.1,0.23,0.72
675797000000,cam,0.028,0.313,0.768
675805000000,icub,0.1,0.24,0.73
675847000000,cam,0.042,0.303,0.763
675857000000,icub,0.1,0.24,0.73
675897000000,cam,0.049,0.305,0.776
675907000000,icub,0.16,0.3,0.8
675947000000,cam,0.061,0.295,0.778
675957000000,icub,0.16,0.3,0.81
675997000000,cam,0.066,0.291,0.78
676007000000,icub,0.17,0.31,0.82
676047000000,cam,0.084,0.278,0.799
676057000000,icub,0.16,0.3,0.82
676097000000,cam,0.088,0.268,0.791
676107000000,icub,0.16,0.3,0.82
676147000000,cam,0.093,0.266,0.807
676157000000,icub,0.15,0.3,0.83
676197000000,cam,0.101,0.25,0.812
676207000000,icub,0.15,0.3,0.83
676247000000,cam,0.104,0.239,0.81
676257000000,icub,0.15,0.3,0.84
676297000000,cam,0.106,0.208,0.785
676307000000,icub,0.14,0.29,0.84
676347000000,cam,0.111,0.179,0.783
676357000000,icub,0.12,0.28,0.84
676398000000,cam,0.116,0.165,0.794
676407000000,icub,0.05,0.17,0.85
676448000000,cam,0.118,0.127,0.776
676457000000,icub,0.05,0.17,0.85
676498000000,cam,0.123,0.111,0.794
676507000000,icub,0.05,0.16,0.85
676550000000,cam,0.124,0.089,0.782
676557000000,icub,0.04,0.15,0.85
676607000000,icub,0.05,0.14,0.85
676610000000,cam,0.127,0.049,0.778
676659000000,icub,0.05,0.14,0.85
676673000000,cam,0.126,0.026,0.763
676709000000,icub,0.06,0.13,0.86
676752000000,cam,0.129,-0.038,0.749
676759000000,icub,0.05,0.13,0.85
676809000000,icub,0.05,0.11,0.85
676821000000,cam,0.128,-0.078,0.733
676859000000,icub,0.05,0.11,0.85
676871000000,cam,0.129,-0.119,0.739
676909000000,icub,0.03,-0.04,0.91
676929000000,cam,0.127,-0.136,0.724
676959000000,icub,0.04,-0.06,0.82
676982000000,cam,0.125,-0.172,0.721
677009000000,icub,0.02,-0.08,0.91
677045000000,cam,0.124,-0.205,0.725
677059000000,icub,0.04,-0.08,0.81
677109000000,icub,0.04,-0.1,0.81
677110000000,cam,0.121,-0.217,0.714
677159000000,icub,0.04,-0.11,0.81
677164000000,cam,0.112,-0.244,0.701
677209000000,icub,0.04,-0.13,0.81
677216000000,cam,0.11,-0.254,0.705
677259000000,icub,0.03,-0.13,0.8
677273000000,cam,0.102,-0.268,0.707
677309000000,icub,0.03,-0.14,0.8
677353000000,cam,0.098,-0.276,0.71
677359000000,icub,0.03,-0.15,0.8
677409000000,icub,0.02,-0.26,0.77
677425000000,cam,0.087,-0.286,0.714
677459000000,icub,0.04,-0.28,0.78
677482000000,cam,0.069,-0.297,0.721
677509000000,icub,0.05,-0.29,0.78
677557000000,cam,0.063,-0.307,0.741
677559000000,icub,0.09,-0.32,0.78
677609000000,icub,0.13,-0.35,0.79
677611000000,cam,0.042,-0.313,0.756
677661000000,cam,0.034,-0.311,0.753
677661000000,icub,0.13,-0.35,0.79
677711000000,icub,0.14,-0.36,0.79
677711000000,cam,0.02,-0.306,0.748
677761000000,icub,0.16,-0.37,0.8
677768000000,cam,0.012,-0.309,0.765
677811000000,icub,0.17,-0.39,0.8
677833000000,cam,0.005,-0.309,0.769
677861000000,icub,0.19,-0.4,0.8
677895000000,cam,-0.016,-0.303,0.787
677911000000,icub,0.13,-0.35,0.79
677951000000,cam,-0.022,-0.3,0.794
677961000000,icub,0.11,-0.34,0.78
678001000000,cam,-0.034,-0.29,0.8
678011000000,icub,0.09,-0.32,0.78
678051000000,cam,-0.04,-0.284,0.8
678061000000,icub,0.09,-0.32,0.78
678111000000,icub,0.09,-0.31,0.78
678114000000,cam,-0.048,-0.269,0.796
678161000000,icub,0.09,-0.31,0.78
678177000000,cam,-0.056,-0.256,0.805
678211000000,icub,0.1,-0.31,0.78
678236000000,cam,-0.06,-0.244,0.795
678261000000,icub,0.1,-0.31,0.78
678286000000,cam,-0.068,-0.21,0.803
678311000000,icub,0.11,-0.31,0.78
678361000000,icub,0.1,-0.3,0.78
678363000000,cam,-0.071,-0.198,0.805
678411000000,icub,0.14,-0.26,0.78
678413000000,cam,-0.075,-0.161,0.788
678461000000,icub,0.16,-0.26,0.78
678463000000,cam,-0.083,-0.13,0.826
678511000000,icub,0.14,-0.25,0.78
678513000000,cam,-0.081,-0.106,0.789
678561000000,icub,0.16,-0.24,0.78
678567000000,cam,-0.082,-0.085,0.78
678611000000,icub,0.16,-0.22,0.78
678617000000,cam,-0.086,-0.044,0.782
678661000000,icub,0.16,-0.22,0.78
678671000000,cam,-0.085,-0.022,0.766
678711000000,icub,0.16,-0.21,0.77
678736000000,cam,-0.088,0.022,0.772
678761000000,icub,0.16,-0.21,0.77
678789000000,cam,-0.088,0.043,0.757
678811000000,icub,0.16,-0.19,0.77
678839000000,cam,-0.09,0.108,0.766
678861000000,icub,0.16,-0.19,0.77
678889000000,cam,-0.089,0.129,0.762
678911000000,icub,0.16,-0.02,0.73
678939000000,cam,-0.085,0.163,0.737
678961000000,icub,0.16,0.01,0.73
678990000000,cam,-0.083,0.179,0.727
679011000000,icub,0.16,0.04,0.73
679051000000,cam,-0.081,0.194,0.719
679061000000,icub,0.15,0.05,0.72
679104000000,cam,-0.078,0.224,0.722
679111000000,icub,0.15,0.06,0.72
679161000000,icub,0.15,0.07,0.72
679179000000,cam,-0.072,0.243,0.71
679211000000,icub,0.15,0.08,0.72
679231000000,cam,-0.066,0.258,0.704
679261000000,icub,0.15,0.09,0.72
679307000000,cam,-0.06,0.28,0.727
679311000000,icub,0.15,0.1,0.72
679361000000,icub,0.15,0.11,0.71
679373000000,cam,-0.049,0.285,0.713
679411000000,icub,0.13,0.21,0.71
679459000000,cam,-0.037,0.293,0.718
679461000000,icub,0.12,0.21,0.71
679511000000,icub,0.12,0.21,0.71
679530000000,cam,-0.024,0.299,0.72
679561000000,icub,0.12,0.21,0.71
679589000000,cam,-0.011,0.31,0.741
