                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.42956,                0.37128,                0.90609,                 0.9968,                      1,                  0.995,                0.93113,                0.40039,                0.29252,                0.83167,               0.001307,               0.001307,               0.001307
                     38,                0.42209,                0.39182,                0.89267,                0.99626,                      1,                  0.995,                0.91545,                0.40681,                 0.2984,                0.83331,              0.0012872,              0.0012872,              0.0012872
                     39,                 0.4764,                0.44608,                0.92331,                0.99697,                      1,                  0.995,                0.90056,                0.49229,                0.31967,                 0.8657,              0.0012674,              0.0012674,              0.0012674
                     40,                0.44098,                0.38689,                0.86961,                0.99724,                      1,                  0.995,                0.93022,                0.40048,                0.32085,                 0.8293,              0.0012476,              0.0012476,              0.0012476
                     41,                0.42055,                0.36793,                0.87916,                0.99731,                      1,                  0.995,                0.93217,                0.41611,                0.30556,                0.84231,              0.0012278,              0.0012278,              0.0012278
                     42,                0.43373,                0.37362,                0.88437,                0.99721,                      1,                  0.995,                0.92396,                0.38688,                0.29498,                0.83772,               0.001208,               0.001208,               0.001208
                     43,                0.42359,                0.36718,                0.87023,                0.99528,                      1,                  0.995,                0.95134,                0.36558,                0.27706,                0.83276,              0.0011882,              0.0011882,              0.0011882
                     44,                0.39255,                 0.3417,                0.85622,                0.99288,                      1,                  0.995,                0.91117,                0.40039,                0.27937,                0.83562,              0.0011684,              0.0011684,              0.0011684
                     45,                0.40289,                0.33093,                0.87162,                0.99295,                      1,                  0.995,                0.95794,                 0.3632,                0.25406,                0.83105,              0.0011486,              0.0011486,              0.0011486
                     46,                0.39275,                0.32164,                0.85985,                0.99592,                      1,                  0.995,                0.93901,                0.37708,                0.28517,                0.83568,              0.0011288,              0.0011288,              0.0011288
                     47,                  0.399,                0.33178,                0.86325,                0.99696,                      1,                  0.995,                0.95848,                0.40074,                0.28846,                0.83424,               0.001109,               0.001109,               0.001109
                     48,                 0.3918,                0.31562,                0.86549,                0.99734,                      1,                  0.995,                0.92171,                0.40013,                0.28074,                0.83037,              0.0010892,              0.0010892,              0.0010892
                     49,                0.39744,                0.33019,                0.87271,                0.99628,                      1,                  0.995,                  0.941,                0.39845,                 0.2613,                0.82526,              0.0010694,              0.0010694,              0.0010694
                     50,                0.41772,                0.34221,                0.87918,                0.98157,                      1,                  0.995,                0.92535,                0.41493,                0.30434,                0.84068,              0.0010496,              0.0010496,              0.0010496
                     51,                 0.3772,                0.30264,                0.85812,                0.97806,                      1,                  0.995,                0.92298,                 0.4177,                 0.3015,                0.83317,              0.0010298,              0.0010298,              0.0010298
                     52,                0.39165,                0.31408,                0.86991,                0.95234,                      1,                  0.995,                0.97548,                0.35726,                0.30135,                0.82362,                0.00101,                0.00101,                0.00101
